",""source"",""target"",""date"",""type"",""weight"",""date_index"""
"1,""Chen"",""Chen"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"2,""Choi"",""Choi"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"3,""Dawtry"",""Dawtry"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"4,""Evans"",""Evans"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"5,""Guang"",""Guang"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"6,""Jiang"",""Jiang"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"7,""Jones"",""Jones"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"8,""Justice"",""Justice"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"9,""Kim"",""Kim"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"10,""Kim_T"",""Kim_T"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"11,""Koo"",""Koo"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"12,""Kumar"",""Kumar"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"13,""Leek"",""Leek"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"14,""Lin"",""Lin"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"15,""Maehata"",""Maehata"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"16,""Neumeyer"",""Neumeyer"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"17,""Park"",""Park"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"18,""Park_C"",""Park_C"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"19,""Rajib"",""Rajib"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"20,""Rao"",""Rao"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"21,""Roberts"",""Roberts"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"22,""Shillam"",""Shillam"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"23,""Shillito"",""Shillito"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"24,""Sorby"",""Sorby"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"25,""Telinen"",""Telinen"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"26,""Vasa"",""Vasa"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"27,""Wiggans"",""Wiggans"",""2004-06-10 00:00:00"",""add.actor"",1,0"
"28,""Chen"",""Chen"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"29,""Choi"",""Choi"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"30,""Dawtry"",""Dawtry"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"31,""Evans"",""Evans"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"32,""Guang"",""Guang"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"33,""Jiang"",""Jiang"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"34,""Jones"",""Jones"",""2004-06-10 00:00:00"",""sarclad"",1,0"
"35,""Justice"",""Justice"",""2004-06-10 00:00:00"",""sarclad"",1,0"
"36,""Kim"",""Kim"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"37,""Kim_T"",""Kim_T"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"38,""Koo"",""Koo"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"39,""Kumar"",""Kumar"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"40,""Leek"",""Leek"",""2004-06-10 00:00:00"",""sarclad"",1,0"
"41,""Lin"",""Lin"",""2004-06-10 00:00:00"",""sarclad"",1,0"
"42,""Maehata"",""Maehata"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"43,""Neumeyer"",""Neumeyer"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"44,""Park"",""Park"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"45,""Park_C"",""Park_C"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"46,""Rajib"",""Rajib"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"47,""Rao"",""Rao"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"48,""Roberts"",""Roberts"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"49,""Shillam"",""Shillam"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"50,""Shillito"",""Shillito"",""2004-06-10 00:00:00"",""sarclad"",1,0"
"51,""Sorby"",""Sorby"",""2004-06-10 00:00:00"",""sarclad"",1,0"
"52,""Telinen"",""Telinen"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"53,""Vasa"",""Vasa"",""2004-06-10 00:00:00"",""sarclad"",0,0"
"54,""Wiggans"",""Wiggans"",""2004-06-10 00:00:00"",""sarclad"",1,0"
"55,""Rao"",""Leek"",""2004-06-14 00:00:00"",""email"",1,1"
"56,""Telinen"",""Leek"",""2005-04-06 00:00:00"",""email"",1,2"
"57,""Kumar"",""Justice"",""2005-04-25 00:00:00"",""email"",1,3"
"58,""Kumar"",""Sorby"",""2005-04-25 00:00:00"",""email"",1,3"
"59,""Justice"",""Kumar"",""2005-04-25 00:30:00"",""email"",1,4"
"60,""Telinen"",""Leek"",""2005-04-26 00:00:00"",""email"",1,5"
"61,""Telinen"",""Leek"",""2005-05-06 00:00:00"",""email"",1,6"
"62,""Park"",""Leek"",""2005-05-20 00:00:00"",""email"",1,7"
"63,""Sorby"",""Justice"",""2005-06-01 00:00:00"",""email"",1,8"
"64,""Sorby"",""Leek"",""2005-06-01 00:00:00"",""email"",1,8"
"65,""Leek"",""Rajib"",""2005-06-01 00:30:00"",""email"",1,9"
"66,""Rao"",""Leek"",""2005-06-09 00:00:00"",""email"",1,10"
"67,""Rao"",""Sorby"",""2005-06-09 00:00:00"",""email"",1,10"
"68,""Leek"",""Rao"",""2005-06-16 00:00:00"",""email"",1,11"
"69,""Leek"",""Sorby"",""2005-06-16 00:00:00"",""email"",1,11"
"70,""Leek"",""Justice"",""2005-06-16 00:00:00"",""email"",1,11"
"71,""Park"",""Leek"",""2005-07-07 00:00:00"",""email"",1,12"
"72,""Telinen"",""Leek"",""2005-07-26 00:00:00"",""email"",1,13"
"73,""Rao"",""Sorby"",""2005-08-01 00:00:00"",""email"",1,14"
"74,""Kim"",""Leek"",""2005-08-05 00:00:00"",""email"",1,15"
"75,""Kim"",""Leek"",""2005-08-08 00:00:00"",""email"",1,16"
"76,""Leek"",""Kim"",""2005-08-19 00:00:00"",""email"",1,17"
"77,""Leek"",""Justice"",""2005-08-19 00:00:00"",""email"",1,17"
"78,""Kim"",""Leek"",""2005-08-19 00:30:00"",""email"",1,18"
"79,""Leek"",""Kim"",""2005-08-21 01:00:00"",""email"",1,19"
"80,""Leek"",""Justice"",""2005-08-21 01:00:00"",""email"",1,19"
"81,""Kim"",""Leek"",""2005-08-26 00:00:00"",""email"",1,20"
"82,""Telinen"",""Leek"",""2005-10-12 00:00:00"",""email"",1,21"
"83,""Leek"",""Kim"",""2005-10-20 00:00:00"",""email"",1,22"
"84,""Leek"",""Koo"",""2005-10-26 00:00:00"",""email"",1,23"
"85,""Kim"",""Leek"",""2005-10-26 00:30:00"",""email"",1,24"
"86,""Leek"",""Justice"",""2006-03-02 00:00:00"",""email"",1,25"
"87,""Leek"",""Justice"",""2006-03-13 00:00:00"",""email"",1,26"
